Overall Rank,amfi_code,scheme_name,return_3yr_pct,Sharpe Ratio,Alpha,expense_ratio_pct,Maximum Drawdown (%),Fund Score
1,120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.18,0.2926,1.36,-18.19,80.0
2,120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.307,0.2733,1.45,-12.97,79.0
3,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.094,0.272,1.38,-16.22,76.25
4,119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,0.945,0.3034,1.43,-28.71,75.62
5,148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.448,0.2698,1.46,-11.27,75.0
6,149324,DSP Small Cap Fund - Regular - Growth,20.08,0.95,0.3006,1.52,-31.17,69.69
7,149323,DSP Midcap Fund - Regular - Growth,17.16,1.132,0.266,1.61,-17.25,68.25
8,120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,1.027,0.2119,0.8,-12.59,67.56
9,119094,Axis Midcap Fund - Regular - Growth,15.18,0.998,0.2608,1.38,-20.96,66.5
10,148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.235,0.2827,1.6,-16.4,62.44
11,118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.082,0.2183,1.51,-17.41,61.31
12,119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.208,0.232,1.54,-15.01,59.81
13,101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.027,0.214,1.6,-11.29,58.12
14,119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.953,0.1987,0.66,-11.8,57.75
15,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,0.926,0.2087,1.52,-15.27,57.19
16,125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.776,0.1773,0.92,-15.2,55.5
17,118634,Nippon India Small Cap Fund - Regular - Growth,20.15,0.448,0.175,1.53,-23.34,54.81
18,120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,0.649,0.1625,1.41,-19.83,52.62
19,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.301,0.1199,0.78,-21.12,51.12
20,119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,-0.057,0.0488,0.72,-52.57,50.94
21,118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.645,0.1564,0.72,-18.63,49.56
22,101207,ABSL Small Cap Fund - Regular - Growth,22.38,0.163,0.109,1.53,-35.45,49.06
23,118635,Nippon India ETF Nifty 50 BeES,11.77,0.665,0.1514,0.89,-11.65,47.75
24,120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,0.798,0.177,1.42,-13.9,47.62
25,102887,UTI Flexi Cap Fund - Regular - Growth,15.34,0.62,0.1621,1.64,-21.54,46.19
26,102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,0.817,0.1705,1.57,-10.86,46.0
27,119095,Axis Small Cap Fund - Regular - Growth,20.98,-0.076,0.048,1.38,-51.68,44.25
28,120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.496,0.0675,0.74,-0.1,43.5
29,120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,0.076,0.078,1.56,-24.0,43.38
30,149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,0.464,0.1317,1.54,-14.84,40.69
31,119093,Axis Bluechip Fund - Direct - Growth,12.14,0.13,0.0823,0.75,-21.75,37.88
32,120844,Kotak Liquid Fund - Regular - Growth,6.18,-0.089,0.0646,0.6,-0.12,35.88
33,120841,Kotak Bluechip Fund - Regular - Growth,12.25,0.494,0.1304,1.59,-17.57,34.88
34,102886,UTI Mid Cap Fund - Regular - Growth,15.61,-0.206,0.029,1.51,-28.0,33.06
35,100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,-0.567,0.0428,0.56,-4.31,30.38
36,118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,-0.357,0.0507,0.55,-8.32,30.12
37,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,-0.227,0.0562,0.77,-4.33,29.25
38,100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,-0.202,0.0375,1.55,-24.73,28.62
39,119092,Axis Bluechip Fund - Regular - Growth,11.84,0.031,0.069,1.64,-14.4,26.31
40,101208,ABSL Liquid Fund - Regular - Growth,5.14,-0.816,0.0609,0.79,-0.16,26.12
